country,continent,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,life_expectancy,gdp_per_capita,diabetes_prevalence,hospital_beds_per_thousand,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,case_fatality_rate,vaccination_status
Ghana,Africa,2026-07-19,172843.0,1463.0,5214.1,44.133858,33149152.0,145.68942260742188,20.73600006103516,65.24600219726562,7357.83349609375,2.700000047683716,0.6899999976158142,,,0.8464328899637243,No Data
Gibraltar,Europe,2026-07-19,20550.0,113.0,546092.3,3002.8435,37631.0,3763.10009765625,38.948001861572266,83.5167007446289,,,,,,0.5498783454987834,No Data
Greece,Europe,2026-07-19,5867249.0,40254.0,563482.3,3865.9375,10412481.0,80.77952575683594,45.39099884033203,79.94409942626953,38218.72265625,8.0,4.269999980926514,,,0.68607962607348,No Data
Greenland,North America,2026-07-19,11971.0,21.0,213714.42,374.90628,56014.0,0.1364697217941284,33.92399978637695,70.0519027709961,71037.5390625,4.300000190734863,,,,0.1754239411912121,No Data
Grenada,North America,2026-07-19,19693.0,238.0,168419.88,2035.4407,116928.0,343.9058837890625,32.88600158691406,75.15080261230469,18240.994140625,11.300000190734863,3.009999990463257,,,1.2085512618696999,No Data
Guadeloupe,North America,2026-07-19,203235.0,1021.0,528292.0,2654.0022,384702.0,237.47036743164065,45.86299896240234,80.90540313720703,,,,,,0.5023740989494919,No Data
Guam,Oceania,2026-07-19,52287.0,419.0,316520.7,2536.427,165193.0,305.9129638671875,30.979999542236328,77.10150146484375,,20.299999237060547,,,,0.8013464149788667,No Data
Guatemala,North America,2026-07-19,1255709.0,20206.0,70356.21,1132.1234,17847877.0,166.5535430908203,22.24399948120117,71.2063980102539,12986.5244140625,13.199999809265137,0.449999988079071,,,1.6091307779111244,No Data
Guernsey,Europe,2026-07-19,35326.0,67.0,554133.3,1050.9803,63750.0,,43.880001068115234,83.10800170898438,,,,,,0.18966200532185926,No Data
Guinea,Africa,2026-07-19,38594.0,468.0,2745.9001,33.297436,14055136.0,57.199806213378906,17.836000442504883,60.43159866333008,4216.85986328125,4.599999904632568,0.3000000119209289,,,1.212623723894906,No Data
Guinea-Bissau,Africa,2026-07-19,9614.0,177.0,4566.0605,84.06415,2105535.0,74.87677764892578,18.732999801635746,63.60449981689453,2814.08349609375,4.800000190734863,,,,1.841065113376326,No Data
Guyana,South America,2026-07-19,75784.0,1312.0,92235.266,1596.8103,821638.0,4.173929214477539,25.304000854492188,69.88849639892578,83658.6796875,16.399999618530273,3.240000009536743,,,1.7312361448326823,No Data
Haiti,North America,2026-07-19,34979.0,860.0,3040.6995,74.759186,11503603.0,417.4021301269531,23.25,63.94829940795898,2677.893798828125,8.5,4.900000095367432,,,2.458618027959633,No Data
High-income countries,,2026-07-19,458049855.0,3504285.0,332370.3,2542.7808,1410112397.0,27.17702293395996,40.64899826049805,80.40190124511719,59555.51171875,9.72828483581543,5.244418621063232,,,0.76504445132943,No Data
Honduras,North America,2026-07-19,473076.0,11114.0,45210.38,1062.1299,10463880.0,93.51934814453124,23.20599937438965,72.71510314941406,6726.1669921875,5.0,0.5299999713897705,,,2.349305397018661,No Data
Hong Kong,Asia,2024-08-12,,,,,7465913.0,7110.3935546875,45.59099960327149,83.48529815673828,68724.5546875,8.199999809265137,,,,,No Data
Hungary,Europe,2026-07-19,2240890.0,49124.0,231393.92,5072.536,9684308.0,106.1177749633789,42.99300003051758,76.21179962158203,41160.640625,8.300000190734863,6.630000114440918,,,2.1921647202673937,No Data
Iceland,Europe,2026-07-19,211293.0,186.0,555496.25,489.00012,380368.0,3.772369384765625,35.74700164794922,81.58769989013672,68064.6875,6.900000095367432,2.8299999237060547,,,0.08802941886385257,No Data
India,Asia,2026-07-19,45056221.0,533849.0,31609.014,374.51965,1425423209.0,479.425537109375,27.68400001525879,71.69840240478516,10039.0712890625,10.5,1.590000033378601,,,1.1848508111676743,No Data
Indonesia,Asia,2026-07-19,6830274.0,162059.0,24496.148,581.20966,278830527.0,147.33016967773438,29.56100082397461,70.92459869384766,15091.0087890625,11.300000190734863,1.3700000047683716,,,2.372657378020267,No Data
Iran,Asia,2026-07-19,7627863.0,146837.0,85204.44,1640.1925,89524247.0,55.17673110961914,32.340999603271484,76.79930114746094,16833.78125,9.0,1.850000023841858,,,1.9250083542402374,No Data
Iraq,Asia,2026-07-19,2465545.0,25375.0,55945.402,575.78125,44070556.0,101.51512145996094,20.093000411987305,72.03710174560547,12191.556640625,13.399999618530272,1.059999942779541,,,1.029184216876999,No Data
Ireland,Europe,2026-07-19,1749952.0,9782.0,342455.34,1914.2802,5110015.0,74.17643737792969,37.99700164794922,82.05049896240234,131338.4375,3.5999999046325684,2.9600000381469727,,,0.5589867607797242,No Data
Isle of Man,Europe,2026-07-19,38008.0,116.0,451680.38,1378.5236,84148.0,147.62806701660156,45.47600173950195,80.95610046386719,,7.5,,,,0.3051989054935803,No Data
Israel,Asia,2026-07-19,4841703.0,12707.0,531871.56,1395.8915,9103143.0,420.6628112792969,29.086000442504883,82.81449890136719,48196.6328125,10.100000381469728,3.140000104904175,,,0.2624489771470906,No Data
Italy,Europe,2026-07-19,26969918.0,198523.0,452370.38,3329.8555,59619106.0,201.6086578369141,47.11600112915039,82.052001953125,53606.078125,7.699999809265137,3.059999942779541,,,0.7360904842202338,No Data
Jamaica,North America,2026-07-19,157681.0,3634.0,55538.1,1279.9606,2839150.0,262.1560363769531,31.152999877929688,71.48090362548828,11357.916015625,12.5,1.649999976158142,,,2.3046530653661508,No Data
Japan,Asia,2026-07-19,33803572.0,74694.0,270433.8,597.56354,124997585.0,342.92889404296875,48.54800033569336,84.0541000366211,48283.37109375,8.100000381469727,12.59000015258789,,,0.2209648140143296,No Data
Jersey,Europe,2026-07-19,66391.0,161.0,641502.3,1555.6608,103493.0,,42.867000579833984,79.72570037841797,,,,,,0.24250274886656326,No Data
Jordan,Asia,2026-07-19,1746997.0,14122.0,155202.14,1254.5897,11256269.0,126.76834869384766,23.94300079345703,77.08799743652344,10794.240234375,20.5,1.409999966621399,,,0.8083585718807761,No Data
Kazakhstan,Asia,2026-07-19,1504370.0,19072.0,75088.555,951.9526,20034612.0,7.421051502227783,29.347999572753903,73.50279998779297,37850.578125,6.800000190734863,6.539999961853027,,,1.2677732206837413,No Data
Kenya,Africa,2026-07-19,344162.0,5689.0,6343.7124,104.86161,54252458.0,95.32357025146484,19.27199935913086,63.54909896850586,5995.40185546875,3.0999999046325684,1.3300000429153442,,,1.6530006218001987,No Data
Kiribati,Oceania,2026-07-19,5085.0,24.0,38970.594,183.932,130483.0,161.09011840820312,22.52899932861328,66.2686996459961,3363.9951171875,24.600000381469727,1.8600000143051147,,,0.471976401179941,No Data
