date,reproduction_rate
2020-03-28,1.5380178947368421
2020-03-29,1.5064826530612245
2020-03-30,1.4494442307692308
2020-03-31,1.4294801886792452
2020-04-01,1.3922472727272728
2020-04-02,1.3622846846846846
2020-04-03,1.32735625
2020-04-04,1.2981858407079645
2020-04-05,1.2569205128205128
2020-04-06,1.2340376068376067
2020-04-07,1.22165593220339
2020-04-08,1.1991508474576271
2020-04-09,1.1816159663865546
2020-04-10,1.1602516666666667
2020-04-11,1.1433776859504132
2020-04-12,1.1269795081967213
2020-04-13,1.1140528455284553
2020-04-14,1.0987967479674796
2020-04-15,1.0852284552845528
2020-04-16,1.0717632000000001
2020-04-17,1.0580344
2020-04-18,1.041009375
2020-04-19,1.0227542635658915
2020-04-20,1.0079123076923078
2020-04-21,0.9965292307692307
2020-04-22,0.9893725190839694
2020-04-23,0.979944696969697
2020-04-24,0.978293984962406
2020-04-25,0.967489552238806
2020-04-26,0.960329104477612
2020-04-27,0.9540348148148149
2020-04-28,0.9499659259259259
2020-04-29,0.947645588235294
2020-04-30,0.9460021739130435
2020-05-01,0.9470114285714286
2020-05-02,0.9494635714285715
2020-05-03,0.955758865248227
2020-05-04,0.9593375886524823
2020-05-05,0.9743880281690142
2020-05-06,0.9723776223776225
2020-05-07,0.9758027586206897
2020-05-08,0.9804884353741496
2020-05-09,0.9834261744966443
2020-05-10,0.9836778523489934
2020-05-11,0.9784333333333333
2020-05-12,0.975546357615894
2020-05-13,0.973971523178808
2020-05-14,0.9746158940397351
2020-05-15,0.9734701986754967
2020-05-16,0.9757855263157895
2020-05-17,0.9769869281045752
2020-05-18,0.981632679738562
2020-05-19,0.9836359477124182
2020-05-20,0.9841201298701298
2020-05-21,0.981911038961039
2020-05-22,0.982889677419355
2020-05-23,0.9849825806451613
2020-05-24,0.9824653846153846
2020-05-25,0.9840461538461539
2020-05-26,0.9866348101265822
2020-05-27,0.9919607594936709
2020-05-28,0.994967924528302
2020-05-29,0.9959199999999999
2020-05-30,0.990524375
2020-05-31,0.9875099378881989
2020-06-01,0.9867993788819875
2020-06-02,0.9857049689440993
2020-06-03,0.9850304347826087
2020-06-04,0.9861391304347827
2020-06-05,0.988576397515528
2020-06-06,0.9919701863354037
2020-06-07,0.9928030864197531
2020-06-08,0.992541975308642
2020-06-09,0.9959067901234568
2020-06-10,0.9991111111111111
2020-06-11,1.0002484662576687
2020-06-12,1.0049398773006135
2020-06-13,1.0111429447852762
2020-06-14,1.0166895705521473
2020-06-15,1.0195110429447851
2020-06-16,1.0178536585365854
2020-06-17,1.0197430303030304
2020-06-18,1.0219575757575756
2020-06-19,1.0228248484848486
2020-06-20,1.0226333333333333
2020-06-21,1.0224424242424242
2020-06-22,1.0218524096385542
2020-06-23,1.026278313253012
2020-06-24,1.028077108433735
2020-06-25,1.0291692771084338
2020-06-26,1.0315724550898204
2020-06-27,1.0294119760479041
2020-06-28,1.024914371257485
2020-06-29,1.020731137724551
2020-06-30,1.0175833333333333
2020-07-01,1.014435119047619
2020-07-02,1.0125738095238095
2020-07-03,1.0138833333333335
2020-07-04,1.0141952380952381
2020-07-05,1.0131434523809524
2020-07-06,1.0109529761904763
2020-07-07,1.0097077380952382
2020-07-08,1.0074142857142856
2020-07-09,1.007314880952381
2020-07-10,1.0074378698224853
2020-07-11,1.0015776470588236
2020-07-12,0.9970953216374269
2020-07-13,0.9957508771929825
2020-07-14,0.993908187134503
2020-07-15,0.9951976608187134
2020-07-16,0.9983280701754386
2020-07-17,0.9996883040935672
2020-07-18,1.0034064327485381
2020-07-19,1.0067076023391812
2020-07-20,1.0100584795321637
2020-07-21,1.0163656976744186
2020-07-22,1.0190203488372094
2020-07-23,1.0196639534883722
2020-07-24,1.0219377906976745
2020-07-25,1.02379011627907
2020-07-26,1.027582558139535
2020-07-27,1.0297936046511629
2020-07-28,1.0302895348837209
2020-07-29,1.0286075581395349
2020-07-30,1.0258552325581396
2020-07-31,1.0180023121387283
2020-08-01,1.0151959537572253
